FCLT_NM,RONA_DADDR
기타도로, [지점번호:다라56407604]
기타도로, [지점번호:다라69806450]
기타도로, [지점번호:다라69566670]
양곡천,
주천천,
버들개천, [지점번호:라바04208492]
청미천,
구안천,
오신천, [지점번호:라바11589147]
쌍정재해위험지구,
성산천 재해위험지구,
취락지구, [지점번호:라사80771030]
취락지구,강원도 영월군 영월읍 봉래산로  10    
취락지구,
취락지구,강원도 영월군 영월읍 단종로  187-7   
취락지구,강원도 영월군 영월읍 보덕사길  33-1   
취락지구,강원도 영월군 주천면 평창강모란길  38-10   
호안정비, 
재해위험(자산)지구, 
배수펌프장, 
부곡배수펌프장, 
축제 및 호안, 
호안정비, [지점번호:라바58150038]
호안정비, 
평화배수펌프장,경상북도 김천시  모암제방길  103-13  (모암동)
재해위험(속구미)지구, [지점번호:라마56749246]
모암지구, [지점번호:라마56139206]
낙동강, [지점번호:라바98584058]
낙동강, [지점번호:마바05744297]
낙동강,
절개지,
지방도897, [지점번호:다라58397806]
기타도로, [지점번호:다라63318265]
금계지구, [지점번호:라바91567649]
하양지천,
신전천,
배수펌프장,북구보건소
하천,
춘포용연,
유로확장,
배수펌프장,
배수시설,
주주골1,
오수천,
오수천,
금월천,
양지천,
사천,
단강지구,
유수지,전라북도 부안군 부안읍 석정로  221    
배수펌프장,
절개지,
포천지구,전라남도 영광군 군남면 군불로  27    
섬진강,
도로 및 농경지, [지점번호:나나89667250]
기산천,
배덕천, [지점번호:다마92330798]
배수로, [지점번호:다마85832820]
안정천,
길안면 천지지구, [지점번호:마바27273004]
남후면 광음지구, [지점번호:마바05893550]
송천지구, [지점번호:마바15633876]
원호지구, [지점번호:마바03013229]
구호지구, [지점번호:라바85953402]
명륜지구,
반변천, [지점번호:마바19293861]
운산배수펌프장,경상북도 안동시 일직면 경북대로  7359-4   
반변천, [지점번호:마바15393663]
도원들배수펌프장,경상북도 안동시 남후면 검바우길  99    
길안천, [지점번호:마바27332493]
마애배수펌프장, 
신성배수펌프장, [지점번호:라바86213631]
낙동강,경상북도 안동시  제비원로  103   (당북동)
병산배수펌프장,
동계천, [지점번호:마바28195567]
오대2지구,
취락지구,강원도 영월군 영월읍 제방안길  140    
취락지구,강원도 영월군 한반도면 쌍용로  227    
취락지구,강원도 영월군 남면 연당로  65-5   
별마차산,강원도 영월군 북면 문학로길  25-9   
배수펌프장,강원도 영월군 영월읍 중앙로  76-8   
취락지구,강원도 영월군 남면 갈골길  8    
취락지구,강원도 영월군 주천면 주천로  21    
취락지구,강원도 영월군 영월읍 봉래산로  22-10   
취락지구,강원도 영월군 영월읍 중앙로  141-8   
도시방재시설,경상북도 성주군 성주읍 성주읍3길  48-6   
하천정비,
칠평천,
주천강,강원도 횡성군 강림면 강림동길  16    
배암지, 
당산지, 
일봉천,전라남도 보성군 복내면 일와길  13    
설동저수지,
동신지,
신지(유곡), 
